fecha,hora,delitos_code,Latitude,Longitude
12/20/2013 0:00,16:00:00,Apropiacion Ilegal,18.478897,-66.770319
12/17/2013 0:00,1:00:00,Escalamiento,18.446282,-66.457714
11/27/2013 0:00,22:00:00,Apropiacion Ilegal,18.487466,-66.825054
8/29/2013 0:00,21:00:00,Apropiacion Ilegal,18.431283,-66.476229
1/13/2013 0:00,12:00:00,Apropiacion Ilegal,18.487821,-66.785024
12/28/2013 0:00,23:09:00,Asesinato,18.449641,-66.496843
3/18/2013 0:00,20:25:00,Agresion Agravada,18.445403,-66.725988
9/13/2013 0:00,13:00:00,Apropiacion Ilegal,18.429671,-66.493253
1/4/2013 0:00,10:00:00,Apropiacion Ilegal,18.440263,-66.457568
5/27/2013 0:00,13:00:00,Apropiacion Ilegal,18.466682,-66.811798
12/29/2013 0:00,21:00:00,Escalamiento,18.431727,-66.62195
2/18/2013 0:00,11:00:00,Apropiacion Ilegal,18.484278,-66.818451
5/28/2013 0:00,17:00:00,Apropiacion Ilegal,18.489679,-66.787794
11/19/2013 0:00,3:00:00,Vehiculo Hurtado,18.463624,-66.733806
2/19/2013 0:00,17:30:00,Apropiacion Ilegal,18.437058,-66.540989
3/9/2013 0:00,20:00:00,Apropiacion Ilegal,18.484228,-66.579093
6/11/2013 0:00,19:00:00,Apropiacion Ilegal,18.387847,-66.556629
5/30/2013 0:00,13:00:00,Escalamiento,18.475644,-66.908646
9/10/2013 0:00,17:00:00,Escalamiento,18.350898,-66.829589
12/21/2013 0:00,8:00:00,Escalamiento,18.426404,-66.683805
3/12/2013 0:00,13:26:00,Apropiacion Ilegal,18.484561,-66.769741
5/11/2013 0:00,22:00:00,Apropiacion Ilegal,18.479772,-66.773934
12/28/2013 0:00,15:00:00,Apropiacion Ilegal,18.466351,-66.717245
